Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Avon,74 Genesee Street,,Avon,NY,14414,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.910944,-77.746320,02/20/2024,123132,2024-02-20 02:18:57,,,,04/01/2019,J1772
ELEC,Dino's Tailor Shop,2400 Monroe Av,,Rochester,NY,14618,,888-356-8911,E,,Public,24 hours daily,,,1,,,FLO,https://flo.ca/,GPS,43.118929,-77.556073,02/20/2024,152919,2024-02-20 02:29:03,,,,01/23/2020,J1772
ELEC,PICOTTE 22 CORPORATE 4,22 Corporate Woods Blvd,,Albany,NY,12211,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.681427,-73.768380,02/20/2024,165498,2024-02-20 01:26:20,,,,08/26/2020,J1772
ELEC,Albany Parking Authority - Riverfront Garage,"2 Columbia St,",,Albany,NY,12207,,866-816-7584,E,,Public,,,,5,,,EV Connect,http://evconnect.com/,GPS,42.650590,-73.749073,02/20/2024,185449,2024-02-20 02:19:21,,,,05/02/2019,J1772
ELEC,1065 Elton St,1065 Elton St,,Brooklyn,NY,11239,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,40.657441,-73.874619,02/20/2024,196329,2024-02-20 02:28:51,,,,09/24/2021,J1772
ELEC,WHITE PLAINS EVSE1,1 Maple Ave,,White Plains,NY,10605,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.028410,-73.759380,02/20/2024,197206,2024-02-20 01:37:09,,,,10/07/2021,J1772
ELEC,CMH STATION 3,67 Prospect Ave,,Hudson,NY,12534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.246680,-73.778750,02/20/2024,213960,2024-02-20 01:40:02,,,,04/14/2022,J1772
ELEC,COMPETITION BMW BMW-PUBLIC-2,599 Middle Country Rd,,Saint James,NY,11780,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.860739,-73.158228,02/20/2024,229210,2024-02-20 01:48:45,,,,09/24/2022,J1772
ELEC,CITY OF ALBANY STATION 4,77 Corning Pl,,Albany,NY,12207,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.651389,-73.754273,02/20/2024,262440,2024-02-20 01:34:15,,,,06/09/2023,J1772
ELEC,626 Sheepshead Bay Rd - Parking,626 Sheepshead Bay Rd,Entrance is in-between post office and Net Coast Market on Sheepshead Bay RdEntrance is in-between post office and ||Net Coast Market on Sheepshead Bay Rd.||,Brooklyn,NY,11224,,888-998-2546,E,,Public,Mon 8:00am - 8:00pm; Tue 8:00am - 8:00pm; Wed 8:00am - 8:00pm; Thu 8:00am - 8:00pm; Fri 8:00am - 8:00pm; Sat 8:00am - 8:00pm; Sun 8:00am - 8:00pm,,,6,,,Blink Network,http://www.blinkcharging.com/,GPS,40.578917,-73.975370,02/20/2024,197548,2024-02-20 00:04:24,,,,10/08/2021,J1772
ELEC,ROSENBLUM300 300 GREAT OAKS,300 Great Oaks Blvd,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.680984,-73.846759,02/20/2024,118995,2024-02-20 01:10:17,,,,03/08/2019,J1772
ELEC,Bruno's Bakery and Restaurant Forest Ave - Tesla Destination,676 Forest Ave,,Staten Island,NY,10310,,718-448-0993  877-798-3752,E,,Public,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.629216,-74.111537,10/06/2022,150541,2023-01-18 15:15:20,P,,,08/28/2019,TESLA
ELEC,Lebrun Nissan,396 Grant Ave,,Auburn,NY,13021,,315-253-7700,E,,Public - Call ahead,Dealership business hours,,,1,,,Non-Networked,,200-9,42.966894,-76.535879,02/12/2024,44321,2024-02-12 15:25:05,P,,,11/30/2011,J1772
ELEC,3500 Dekalb Ave,3500 Dekalb Ave,,Bronx,NY,10467,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://flo.ca/,GPS,40.882337,-73.880265,02/20/2024,201636,2024-02-20 02:28:37,,,,11/25/2021,J1772
ELEC,MATTHEW IMPORT SERVICE AREA,3013 Vestal Rd,,Vestal,NY,13850,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.101709,-76.004164,02/20/2024,233315,2024-02-20 01:49:24,,,,10/12/2022,J1772
ELEC,LIVEWELL GROUP 301 ELKIN CT,301 Elkin Ct,,Delmar,NY,12054,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.607437,-73.850940,02/20/2024,165396,2024-02-20 01:24:59,,,,08/22/2020,J1772
ELEC,STOHL STOHL5,3860 California Rd,,Orchard Park,NY,14127,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.779479,-78.781172,02/20/2024,180669,2024-02-20 01:24:38,,,,01/27/2021,J1772
ELEC,PERRY CHARGING PERRY CHARGING,38 S Main St,,Perry,NY,14530,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.717358,-78.002460,02/20/2024,156352,2024-02-20 01:21:16,,,,05/19/2020,J1772
ELEC,Clinton County Government Center,34 Court St,,Plattsburgh,NY,12901,,518-563-7642,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,44.698674,-73.453918,10/11/2022,227690,2023-02-14 15:54:11,P,,,09/13/2022,J1772
ELEC,VOEASTROCHESTER CONCREST PARK,511 West Avenue,,East Rochester,NY,14445,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.115044,-77.498670,02/20/2024,223433,2024-02-20 01:45:15,,,,07/13/2022,J1772
ELEC,Veteran's Park Pool,Locust Ave,,Amsterdam,NY,12010,,518-691-3119,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY CREDIT D M V,,10,,,LIVINGSTON,https://www.solution.energy,GPS,42.946740,-74.181450,01/09/2024,324886,2024-01-31 22:07:01,LG,,,03/20/2023,J1772
ELEC,PRIMA LOFTS LL ALB LOFTS 1.1,1373 Broadway,,Menands,NY,12204,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.676205,-73.733440,02/20/2024,175102,2024-02-20 01:19:55,,,,01/27/2021,J1772
ELEC,RRH RIEDMAN CANP7,100 Kings Hwy S,,Rochester,NY,14617,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.202055,-77.574550,02/20/2024,173963,2024-02-20 01:10:00,,,,01/27/2021,J1772
ELEC,FC1225 UNION ST CT4K 1,109 S Union St,,Rochester,NY,14607,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.151016,-77.599833,02/20/2024,221901,2024-02-20 01:43:16,,,,06/23/2022,J1772
