STATION NAME,AGENCY,NO. OF PLUGS,TYPE OF CHARGER,ADDRESS,CITY,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
NYC FLEET / ACS_LINDEN_1_L3,ACS,1,Level 3 Fast Charger,2554 Linden Blvd,East New York,11208,Brooklyn,40.668034,-73.869949,305,42,1220,3098733,3044840013,BK0505
NYC FLEET / ACS_LINDEN_2_L3,ACS,1,Level 3 Fast Charger,2554 Linden Blvd,East New York,11208,Brooklyn,40.668034,-73.869949,305,42,1220,3098733,3044840013,BK0505
NYC FLEET / ACS_LINDEN-1,ACS,1,Level 2 Charger,2554 Linden Blvd,Brooklyn,11208,Brooklyn,40.668034,-73.869949,305,42,1220,3098733,3044840013,BK0505
NYC FLEET / ACSSTMARKSPL1,ACS,1,Level 2 Charger,350 St Marks Pl,Staten Island,10301,Staten Island,40.640708,-74.077697,501,49,3,5000185,5000160054,SI0101
NYC FLEET / CITYHALL EAST,CITYHALL,2,Level 2 Charger,New York City Hall,New York,10007,Manhattan,40.712806,-74.006096,101,1,31,1079147,1001220001,MN0102
NYC FLEET / CITYHALL WEST,CITYHALL,2,Level 2 Charger,New York City Hall,New York,10007,Manhattan,40.712806,-74.006096,101,1,31,1079147,1001220001,MN0102
NYC FLEET / DCAS_1CENTRE-S1,DCAS,1,EV Solar Arc Charger,1 Centre St,New York,10007,Manhattan,40.713001,-74.004181,101,1,2901,1001394,1001210001,MN0102
NYC FLEET / DCAS_1CNTR_1_L3,DCAS,1,Level 3 Fast Charger,1 Centre St,New York,10007,Manhattan,40.713001,-74.004181,101,1,2901,1001394,1001210001,MN0102
NYC FLEET / DCAS_1CNTR_2_L3,DCAS,1,Level 3 Fast Charger,1 Centre St,New York,10007,Manhattan,40.713001,-74.004181,101,1,2901,1001394,1001210001,MN0102
NYC FLEET / DCAS_BKNVY_1_L3,DCAS,1,Level 3 Fast Charger,2 Navy St,Brooklyn,11201,Brooklyn,40.70061,-73.98042,302,35,23,,,BK0202
NYC FLEET / DCAS_KENTAVE1,DCAS,1,Level 2 Charger,390 Kent Ave,Brooklyn,11249,Brooklyn,40.711246,-73.968348,301,33,549,3063635,3024670001,BK0102
NYC FLEET / DCAS_KENTAVE2,DCAS,1,Level 2 Charger,390 Kent Ave,Brooklyn,11249,Brooklyn,40.711246,-73.968348,301,33,549,3063635,3024670001,BK0102
NYC FLEET / DCAS_KENTAVE3,DCAS,1,Level 2 Charger,390 Kent Ave,Brooklyn,11249,Brooklyn,40.711246,-73.968348,301,33,549,3063635,3024670001,BK0102
NYC FLEET / DCAS_KENTAVE4,DCAS,2,Level 2 Charger,390 Kent Ave,Brooklyn,11249,Brooklyn,40.711246,-73.968348,301,33,549,3063635,3024670001,BK0102
NYC FLEET / DCAS_KNTAV_1_L3,DCAS,1,Level 3 Fast Charger,390 Kent Ave,Southside,11249,Brooklyn,40.711246,-73.968348,301,33,549,3063635,3024670001,BK0102
NYC FLEET / DCAS_KNTAV_2_L3,DCAS,1,Level 3 Fast Charger,390 Kent Ave,Southside,11249,Brooklyn,40.711246,-73.968348,301,33,549,3063635,3024670001,BK0102
NYC FLEET / DCAS_QBH_1_L3,DCAS,1,Level 3 Fast Charger,Union Tpke/Queens Blvd,Jamaica,11415,Queens,,,,,,,,
NYC FLEET / DCAS_QBH_2_L3,DCAS,1,Level 3 Fast Charger,Union Tpke/Queens Blvd,Jamaica,11415,Queens,,,,,,,,
NYC FLEET / DCAS_QBH_3_L3,DCAS,1,Level 3 Fast Charger,Union Tpke/Queens Blvd,Jamaica,11415,Queens,,,,,,,,
NYC FLEET / DCAS100GLD_1_L3,DCAS,1,Level 3 Fast Charger,100 Gold St,New York,10038,Manhattan,40.710353,-74.004007,101,1,1501,1001289,1000940025,MN0101
NYC FLEET / DCAS100GLD_2_L3,DCAS,1,Level 3 Fast Charger,100 Gold Street,New York,10038,Manhattan,40.710353,-74.004007,101,1,1501,1001289,1000940025,MN0101
NYC FLEET / DCAS100GLD_3_L3,DCAS,1,Level 3 Fast Charger,100 Gold St,New York,10038,Manhattan,40.710353,-74.004007,101,1,1501,1001289,1000940025,MN0101
NYC FLEET / DCAS100GLD_4_L3,DCAS,1,Level 3 Fast Charger,100 Gold St,New York,10038,Manhattan,40.710353,-74.004007,101,1,1501,1001289,1000940025,MN0101
NYC FLEET / DCAS100GLD_5_L3,DCAS,1,Level 3 Fast Charger,100 Gold St,New York,10038,Manhattan,40.710353,-74.004007,101,1,1501,1001289,1000940025,MN0101
NYC FLEET / DCAS100GOLD,DCAS,1,Level 2 Charger,100 Gold St,New York,10038,Manhattan,40.710353,-74.004007,101,1,1501,1001289,1000940025,MN0101
NYC FLEET / DCASCSTHSE_1_L3,DCAS,1,Level 3 Fast Charger,6626 Metropolitan Ave,Middle Village,11379,Queens,40.712377,-73.892143,405,30,61301,4443103,4036050001,QN0502
NYC FLEET / DCASCSTHSE_2_L3,DCAS,1,Level 3 Fast Charger,6626 Metropolitan Ave,Middle Village,11379,Queens,40.712377,-73.892143,405,30,61301,4443103,4036050001,QN0502
NYC FLEET / DCASCSTHSE_3_L3,DCAS,1,Level 3 Fast Charger,6626 Metropolitan Ave,Middle Village,11379,Queens,40.712377,-73.892143,405,30,61301,4443103,4036050001,QN0502
NYC FLEET / DCASNAVYYARD01,DCAS,1,Level 2 Charger,2 Navy St,Brooklyn,11201,Brooklyn,40.70061,-73.98042,302,35,23,,,BK0202
NYC FLEET / DCASNAVYYARD02,DCAS,1,Level 2 Charger,2 Navy St,Brooklyn,11201,Brooklyn,40.70061,-73.98042,302,35,23,,,BK0202
NYC FLEET / DCASNAVYYARD03,DCAS,1,Level 2 Charger,2 Navy St,Brooklyn,11201,Brooklyn,40.70061,-73.98042,302,35,23,,,BK0202
