TimePeriod,GeoType,GeoID,GeoRank,Geography,General population,Sensitive groups
2022,Citywide,1,0,New York City,0,3
2021,Citywide,1,0,New York City,1,12
2020,Citywide,1,0,New York City,0,5
2019,Citywide,1,0,New York City,0,6
2018,Citywide,1,0,New York City,1,14
2017,Citywide,1,0,New York City,,8
2016,Citywide,1,0,New York City,,11
2015,Citywide,1,0,New York City,0,5
2014,Citywide,1,0,New York City,1,4
2013,Citywide,1,0,New York City,0,3
2012,Citywide,1,0,New York City,0,9
2011,Citywide,1,0,New York City,1,13
2010,Citywide,1,0,New York City,1,15
2009,Citywide,1,0,New York City,0,8
2008,Citywide,1,0,New York City,0,12
2007,Citywide,1,0,New York City,1,25
2006,Citywide,1,0,New York City,4,23
2005,Citywide,1,0,New York City,3,28
2004,Citywide,1,0,New York City,1,18
2003,Citywide,1,0,New York City,6,31
